cell,seed,dom,alive,fuel,hoard
carrion_k8,43,DEAD,0,24,α:6.12;β:5.77
carrion_k8,44,DEAD,0,24,α:7.31;β:4.65
carrion_k8,45,DEAD,0,24,α:5.50;β:6.23
carrion_k8,46,DEAD,0,24,α:5.20;β:7.08
carrion_k8,47,DEAD,0,24,α:7.19;β:4.85
carrion_k8,48,DEAD,0,24,α:5.24;β:7.00
carrion_k8,49,DEAD,0,24,α:6.68;β:5.40
carrion_k8,50,DEAD,0,24,α:6.54;β:5.31
carrion_k8,51,DEAD,0,24,α:5.88;β:6.28
carrion_k8,52,DEAD,0,24,α:5.48;β:6.15
carrion_k8,53,DEAD,0,24,α:5.69;β:6.31
carrion_k8,54,DEAD,0,24,α:4.92;β:7.12
carrion_k8,55,DEAD,0,24,α:6.63;β:4.74
carrion_k8,56,DEAD,0,24,α:6.22;β:5.33
carrion_k8,57,DEAD,0,24,α:7.08;β:4.92
carrion_k8,58,DEAD,0,24,α:5.46;β:7.04
carrion_k8,59,DEAD,0,24,α:6.11;β:5.32
carrion_k8,60,DEAD,0,24,α:6.04;β:6.20
carrion_t_k2,1,DEAD,0,24,α:3.24;β:3.31
carrion_t_k2,2,DEAD,0,24,α:4.26;β:4.47
carrion_t_k2,3,DEAD,0,24,α:4.31;β:4.59
carrion_t_k2,4,DEAD,0,24,α:3.83;β:2.98
carrion_t_k2,5,DEAD,0,24,α:4.76;β:4.76
carrion_t_k2,6,DEAD,0,24,α:2.92;β:3.39
carrion_t_k2,7,DEAD,0,24,α:5.08;β:4.00
carrion_t_k2,8,DEAD,0,24,α:2.77;β:2.67
carrion_t_k2,9,DEAD,0,24,α:4.06;β:3.04
carrion_t_k2,10,DEAD,0,24,α:3.47;β:3.76
carrion_t_k2,11,DEAD,0,24,α:3.60;β:4.40
carrion_t_k2,12,DEAD,0,24,α:4.53;β:3.60
carrion_t_k2,13,DEAD,0,24,α:3.19;β:4.45
carrion_t_k2,14,DEAD,0,24,α:4.69;β:4.34
carrion_t_k2,15,DEAD,0,24,α:3.02;β:3.62
carrion_t_k2,16,DEAD,0,24,α:3.80;β:3.64
carrion_t_k2,17,DEAD,0,24,α:3.38;β:4.29
carrion_t_k2,18,DEAD,0,24,α:3.55;β:4.33
carrion_t_k2,19,DEAD,0,24,α:3.39;β:3.67
carrion_t_k2,20,DEAD,0,24,α:2.90;β:3.09
carrion_t_k2,21,DEAD,0,24,α:3.98;β:4.17
carrion_t_k2,22,DEAD,0,24,α:4.32;β:2.57
carrion_t_k2,23,DEAD,0,24,α:3.70;β:2.92
carrion_t_k2,24,DEAD,0,24,α:3.39;β:4.34
carrion_t_k2,25,DEAD,0,24,α:3.76;β:4.29
carrion_t_k2,26,DEAD,0,24,α:3.20;β:4.73
carrion_t_k2,27,DEAD,0,24,α:4.87;β:3.97
